iter	Logloss
0	0.6248509605
1	0.5611005993
2	0.4941916717
3	0.4492324582
4	0.40428887
5	0.3664000187
6	0.3348844403
7	0.3012833135
8	0.2742597116
9	0.2506987354
10	0.231711291
11	0.2140157152
12	0.2009352642
13	0.184782321
14	0.1720163421
15	0.156994035
16	0.1465274259
17	0.1388376035
18	0.129975344
19	0.1235335425
20	0.1154438805
21	0.109687059
22	0.1045715499
23	0.09894523788
24	0.09375808448
25	0.09053251283
26	0.0870475585
27	0.08221393886
28	0.07885165298
29	0.07490859199
30	0.07236301272
31	0.06981101873
32	0.06672794024
33	0.06434284511
34	0.06184440496
35	0.05990582265
36	0.05746151188
37	0.05539986376
38	0.05369005454
39	0.05220303954
40	0.0501885824
41	0.04855559667
42	0.04709535147
43	0.04565867876
44	0.04400644051
45	0.0418305054
46	0.04072910275
47	0.03932775196
48	0.03812475372
49	0.03703575636
50	0.03582448457
51	0.03483688539
52	0.03418651631
53	0.03342228605
54	0.03216809223
55	0.03158481665
56	0.03075585282
57	0.02995210698
58	0.02900742146
59	0.02843821843
60	0.02791229047
61	0.0271963086
62	0.02668494844
63	0.02616431588
64	0.02565746977
65	0.02521084233
66	0.02463708677
67	0.02426021308
68	0.02369987755
69	0.02300118062
70	0.02254449945
71	0.02205656119
72	0.02170368161
73	0.02112586038
74	0.02078305629
75	0.02050082893
76	0.02000944071
77	0.01974742622
78	0.01944566359
79	0.01925338779
80	0.01888603913
81	0.01845909587
82	0.01813460066
83	0.01792476219
84	0.01750705953
85	0.01727883021
86	0.01688153618
87	0.01648512054
88	0.0161261843
89	0.01581956295
90	0.01565240893
91	0.01541133345
92	0.01515120456
93	0.01493010939
94	0.0146604103
95	0.01449323788
96	0.01425585328
97	0.01408729553
98	0.01401902584
99	0.0138966736
100	0.01368786661
101	0.01341418634
102	0.01319168911
103	0.01315377553
104	0.01294722139
105	0.01270162683
106	0.01243739881
107	0.01218996968
108	0.01209196793
109	0.01192421077
110	0.01173102981
111	0.0115706494
112	0.01138562905
113	0.01123451517
114	0.01105487305
115	0.01092422218
116	0.01076899662
117	0.01066077216
118	0.01052640195
119	0.01036688236
120	0.01024927256
121	0.01012488917
122	0.009985392554
123	0.009801802719
124	0.009672215947
125	0.009583523399
126	0.009474513405
127	0.00936756134
128	0.009234886002
