dataset,fold,train_size,model,auroc,auprc,brier,train_time,inf_time
MI,0,50,XGBoost,0.9294063079777365,0.8361876790389395,0.07708702084428366,0.872062070062384,8.895458000530285e-06
MI,0,50,LightGBM,0.7123376623376623,0.3453147987294587,0.15064129019997954,0.30395746999420226,5.182088445501024e-06
MI,0,50,CatBoost,0.9267161410018553,0.8686627302446472,0.07581770979342098,0.3073863701429218,3.65560158226357e-06
MI,0,50,RandomForest,0.9351113172541745,0.8794420697968252,0.07521171317558942,0.2155265361070633,0.0002543708370753612
MI,0,50,TabPFN,,,,,
MI,0,50,TabICL,0.9429499072356216,0.8952719116809642,0.058854088642580585,0.42640382912941277,0.004850371891959196
MI,0,100,XGBoost,0.9336734693877552,0.8665237564070127,0.06868660584148362,0.5675279041752219,5.8279996107061544e-06
MI,0,100,LightGBM,0.8134508348794064,0.5313603868011987,0.13671997882034326,0.050390335032716393,2.6437251706166097e-06
MI,0,100,CatBoost,0.9181818181818182,0.844504474680812,0.07507491367143593,0.26053422619588673,2.319773332590601e-06
MI,0,100,RandomForest,0.943274582560297,0.8869370664446005,0.06714428742186129,0.2964060630183667,0.0003012273863210265
MI,0,100,TabPFN,,,,,
MI,0,100,TabICL,0.946103896103896,0.8987586208013177,0.05699117804596606,0.22176617407239974,0.00013278529467246686
MI,0,200,XGBoost,0.9475417439703154,0.8958170264110228,0.06254334130523934,0.19371689902618527,7.416924973764268e-06
MI,0,200,LightGBM,0.9470779220779222,0.8924395453485073,0.06406802394968339,0.07669328106567264,3.3975983283434254e-06
MI,0,200,CatBoost,0.9365491651205937,0.874587998455443,0.07251995083342193,0.29262203187681735,4.036525501851067e-06
MI,0,200,RandomForest,0.9437847866419296,0.8894542038804085,0.0648987121426017,0.22249439801089466,0.0002993251989220837
MI,0,200,TabPFN,,,,,
MI,0,200,TabICL,0.95139146567718,0.9133245232192253,0.05061909603458443,0.20977143594063818,0.00013407061351426093
MI,0,500,XGBoost,0.9595547309833024,0.9114019636411699,0.05398584641864899,0.20542573207058012,1.2400414445901297e-05
MI,0,500,LightGBM,0.9539888682745825,0.9087499481749785,0.05712924595532694,0.14490266819484532,7.100952455247066e-06
MI,0,500,CatBoost,0.94860853432282,0.8832958227030834,0.07013626909851452,0.39445225009694695,5.331378341077334e-06
MI,0,500,RandomForest,0.9492578849721707,0.8928550489155231,0.06125902435095818,0.341546744806692,0.00014118544675736314
MI,0,500,TabPFN,,,,,
MI,0,500,TabICL,0.9657699443413729,0.9324356032801359,0.04840123716933001,0.19141140882857144,0.00017951461820458749
MI,0,1002,XGBoost,0.9661410018552876,0.9276395282945009,0.05037139446391997,0.21968670515343547,8.45277737603482e-06
MI,0,1002,LightGBM,0.9646567717996289,0.9227431477965448,0.051952792964576784,0.1740547250956297,4.46668150741978e-06
MI,0,1002,CatBoost,0.9614100185528756,0.9167658257266008,0.05509737723166473,0.37896264204755425,5.184880558000618e-06
MI,0,1002,RandomForest,0.9617346938775511,0.9127499280728739,0.055986113336843564,0.23160848207771778,0.0001287560713332725
MI,0,1002,TabPFN,,,,,
MI,0,1002,TabICL,0.9695732838589982,0.9440780220247457,0.04700064824224078,0.17637310200370848,0.00025627198369349854
MI,1,50,XGBoost,0.9602504638218924,0.8879144216951834,0.0656287162666085,0.37887681392021477,5.213087387531402e-06
MI,1,50,LightGBM,0.672495361781076,0.3018336542852609,0.16193282643338197,0.022444774163886905,2.577781224571376e-06
MI,1,50,CatBoost,0.9408627087198516,0.7285591854155513,0.09877659237859159,0.27281650993973017,2.945935635630828e-06
MI,1,50,RandomForest,0.950556586270872,0.8178121733642597,0.07507915537848606,0.2049673800356686,0.00012705164527394383
MI,1,50,TabPFN,,,,,
MI,1,50,TabICL,0.9579313543599259,0.8691186360312154,0.06537988215121347,0.17334864102303982,0.0001143202588214461
MI,1,100,XGBoost,0.9100649350649351,0.7717826291916967,0.08531105914945726,0.14446285110898316,5.4573313707849415e-06
MI,1,100,LightGBM,0.8167903525046382,0.5686023937742521,0.12469419477103796,0.03754132892936468,2.6947930009954005e-06
MI,1,100,CatBoost,0.9164656771799629,0.7506582348921168,0.09781956634548111,0.29097730410285294,1.9078523261969784e-06
MI,1,100,RandomForest,0.9202690166975882,0.7765411103307006,0.0946035001178054,0.20788187021389604,0.00012693615199857024
MI,1,100,TabPFN,,,,,
MI,1,100,TabICL,0.9604359925788497,0.8892894110447038,0.06293229708177242,0.44907133001834154,0.00011669804316117944
MI,1,200,XGBoost,0.9219387755102041,0.8311713736612585,0.08327895664855912,0.17475227708928287,6.359051987231965e-06
MI,1,200,LightGBM,0.9205473098330241,0.8063460966384024,0.08566177899668982,0.0789684399496764,3.097342342078923e-06
MI,1,200,CatBoost,0.9107142857142857,0.7846605839707075,0.09403879432691703,0.5586628851015121,6.070526583914263e-06
MI,1,200,RandomForest,0.9243042671614101,0.8046538675739302,0.08462029130999568,0.23460358404554427,0.0001311040514953939
MI,1,200,TabPFN,,,,,
MI,1,200,TabICL,0.9594155844155845,0.8906470786471994,0.06291058431480628,0.1608021119609475,0.00013346244224840664
MI,1,500,XGBoost,0.9525510204081633,0.8804093432492662,0.06627201342719234,0.21162089798599482,7.037119754400861e-06
MI,1,500,LightGBM,0.9492578849721707,0.8494718783651419,0.06770162727872155,0.12834900221787393,3.5960358971974765e-06
MI,1,500,CatBoost,0.954035250463822,0.8726369753242059,0.06486222624117406,0.3116839991416782,1.8137367998817527e-06
MI,1,500,RandomForest,0.9517161410018554,0.8804401950712774,0.061597176051583755,0.2137092191260308,0.00012768255787868186
MI,1,500,TabPFN,,,,,
MI,1,500,TabICL,0.965352504638219,0.9045096291547334,0.05798381294593524,0.16313982708379626,0.00017483305998621472
MI,1,1002,XGBoost,0.9508812615955474,0.8953392162370765,0.06206475341048009,0.22432381194084883,7.428334602915433e-06
MI,1,1002,LightGBM,0.9528293135435992,0.9018759113536372,0.06108331102764867,0.16755257500335574,3.7785176098702914e-06
MI,1,1002,CatBoost,0.9380797773654915,0.8956698639966582,0.05806978985061155,0.33471411000937223,1.859537648608485e-06
MI,1,1002,RandomForest,0.9540816326530612,0.9037330709900628,0.057440770922267084,0.22110502189025283,0.00012728376072864846
MI,1,1002,TabPFN,,,,,
MI,1,1002,TabICL,0.9650742115027828,0.903410159422699,0.06052232408756803,0.16099656000733376,0.0002496378084429469
MI,2,50,XGBoost,0.8984230055658629,0.6966118172234885,0.10276173659639203,0.10140451090410352,5.4576894290656204e-06
MI,2,50,LightGBM,0.7832096474953618,0.4084430997121329,0.14487534995264983,0.01405425788834691,1.9803025436947546e-06
MI,2,50,CatBoost,0.9154452690166975,0.6764482110505929,0.13268794607513687,0.28133582207374275,2.09747386940447e-06
MI,2,50,RandomForest,0.9365491651205937,0.8232232925162846,0.08638425498007968,0.20056061097420752,0.00012713602736621977
MI,2,50,TabPFN,,,,,
MI,2,50,TabICL,0.9532931354359926,0.8934311769868085,0.06893845482180344,0.16757860081270337,0.00011868679625134307
MI,2,100,XGBoost,0.9263450834879406,0.8189364470050237,0.08838466324220914,0.11624931893311441,4.9731948327614496e-06
MI,2,100,LightGBM,0.7799628942486087,0.4190117926680218,0.1565557857536859,0.04011886497028172,2.822860986350542e-06
MI,2,100,CatBoost,0.9312152133580704,0.7728557183549043,0.12317983377827293,0.29079858702607453,1.8675178957294183e-06
MI,2,100,RandomForest,0.9430426716141003,0.864014267555806,0.08330462151394422,0.20616987789981067,0.00012714160880838258
MI,2,100,TabPFN,,,,,
MI,2,100,TabICL,0.9656307977736549,0.9108809046171976,0.06028287506034445,0.1608315131161362,0.00011860701140476413
MI,2,200,XGBoost,0.9396103896103898,0.889156605073368,0.06825927054101151,0.15476146899163723,5.403673647350049e-06
MI,2,200,LightGBM,0.9247680890538034,0.8590942657761599,0.08317167558394675,0.08736005588434637,3.347525825775952e-06
MI,2,200,CatBoost,0.9545918367346939,0.8800749092873084,0.07913253228976733,0.31191761093214154,1.923529898740381e-06
MI,2,200,RandomForest,0.951113172541744,0.8762784531779586,0.07211425562575573,0.21243917709216475,0.00012698637848475064
MI,2,200,TabPFN,,,,,
MI,2,200,TabICL,0.9718460111317254,0.9163158697211031,0.05446706461172553,0.16036690212786198,0.00013357263329286738
MI,2,500,XGBoost,0.9614564007421151,0.9185350284366773,0.051947203756758986,0.208717814181,6.491227439081526e-06
MI,2,500,LightGBM,0.9639146567717997,0.9215641716798847,0.05110774297322703,0.143062150105834,3.7878169214345544e-06
MI,2,500,CatBoost,0.965352504638219,0.9308367777556282,0.047826927415832735,0.3938837868627161,1.8313707063991236e-06
